satellite_name,norad_id,horizon_h,future_x_km,future_y_km,future_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s,altitude_km,velocity_mag_km_s,sgp4_risk_score
VANGUARD 2,11,1,-6769.7503,-4008.3909,-4885.4169,3.568858,-4.865336,-0.69751,2889.8862976692744,6.074105861537153,0.000655888180277718
VANGUARD 2,11,6,5279.1009,2664.2084,3610.697,-4.215743,6.820016,1.258325,557.4951855955251,8.115940431516854,0.0011713857358795674
VANGUARD 2,11,12,5877.0707,1486.9168,3368.6373,-3.089062,7.255637,1.89035,564.3153383153403,8.109253691808698,0.0011692696433005336
VANGUARD 2,11,24,6473.7303,-991.8098,2624.3946,-0.643248,7.394984,2.95208,684.5168267833715,7.988387363927716,0.0011322185971696765
VANGUARD 3,20,1,6944.3264,4023.4751,-5237.6412,-3.112615,4.997048,-0.349095,3212.574822058541,5.897518814853752,0.0006153777608413321
VANGUARD 3,20,6,-6389.7833,1627.9192,2750.108,0.185914,-7.436849,2.802125,773.4065921776546,7.949414543211469,0.0011126766709939507
VANGUARD 3,20,12,-4991.2186,6065.6686,361.3853,-3.796133,-4.847147,3.885546,1492.5359739158066,7.280310948813519,0.0009258317089109902
VANGUARD 3,20,24,2273.1014,7966.382,-4145.8202,-5.375384,1.936347,2.239321,2892.8036073382937,6.1366726646372465,0.0006624355313163267
EXPLORER 7,22,1,-3343.8964,-5514.8473,-2210.4898,5.398923,-1.097316,-5.340271,446.7304898444245,7.672741773135989,0.0011254099563726045
EXPLORER 7,22,6,3088.3343,-3090.0173,-5236.6523,5.642859,5.183068,0.225893,448.71722096679514,7.665316642771777,0.0011239933261756425
EXPLORER 7,22,12,-3347.9682,-5425.1055,-2416.2334,5.520532,-1.043632,-5.225448,446.53948265919826,7.672727553820219,0.001125439401317182
EXPLORER 7,22,24,-1632.5787,4220.1376,5217.1312,-6.442768,-3.830852,1.05592,535.0359492722664,7.56965346592088,0.001096092392440926
TIROS 1,29,1,1665.9131,-5898.3703,-3389.1317,6.156803,-0.719782,4.308954,632.731314993357,7.549264459697316,0.0010778917865589873
TIROS 1,29,6,4203.9102,-5515.1146,-938.6991,4.477654,2.478933,5.561029,626.8929701116476,7.557746866695524,0.0010800032093910325
TIROS 1,29,12,-5282.65,-356.2809,-4616.0726,2.786638,-6.459485,-2.671508,653.3471832388504,7.525108158846156,0.0010712893259037931
TIROS 1,29,24,5631.965,-3482.2952,2252.8676,1.311069,5.424475,5.101021,623.3421452126431,7.560704080363614,0.0010809742965660642
TRANSIT 2A,45,1,6580.3172,-2332.0508,408.4491,1.317414,2.741767,-7.003172,622.272914286078,7.635265810125342,0.0010918014931932344
TRANSIT 2A,45,6,6474.6592,-2536.9946,781.5599,1.750068,2.57528,-6.966219,626.7417238607641,7.630400529394574,0.001090408996287557
TRANSIT 2A,45,12,-6621.803,949.2162,2993.5772,2.218249,-3.506503,5.986334,957.7646174175406,7.283706932226612,0.0009938519399185172
TRANSIT 2A,45,24,-1207.267,-2597.9358,6626.3047,6.909849,-2.619506,0.047763,848.0496609631882,7.389865099648707,0.001023661762518299
SOLRAD 1 (GREB),46,1,-4983.4633,-4670.8326,-2259.6415,3.710983,-0.741248,-6.347374,823.2729548017505,7.389857922833768,0.0010271862034233043
SOLRAD 1 (GREB),46,6,-4276.7109,-4680.4675,-3358.825,4.609073,0.127493,-5.799372,803.8684671818237,7.408948911874207,0.0010326250503076228
SOLRAD 1 (GREB),46,12,-903.1214,2765.0042,6497.445,-6.367167,-3.789227,0.881715,747.8249042366951,7.461667253680171,0.0010481599637658509
SOLRAD 1 (GREB),46,24,-6125.5161,-3819.2213,113.9077,1.49252,-2.502172,-6.763707,848.5134042296922,7.3645239526959925,0.0010200859172006444
COURIER 1B,58,1,-5855.5047,-3209.5771,3154.2691,2.745941,-6.695301,-1.481493,1013.9667573917559,7.38661417464937,0.001000223077139239
COURIER 1B,58,6,-4485.6755,5261.9316,2468.6944,-4.68396,-5.210088,2.473761,970.9112562717737,7.429938878245567,0.0010119897420305369
COURIER 1B,58,12,-145.8514,-7512.4589,-86.127,6.388014,-0.196211,-3.446867,1143.3681846979098,7.261274938769775,0.0009663187589818226
COURIER 1B,58,24,-6412.6052,812.9504,3479.2846,-0.899261,-7.373976,0.145756,969.8320462822439,7.430036151071742,0.001012151770293488
EXPLORER 11,107,1,6865.6871,-1030.4343,2575.6953,0.382559,6.773972,2.503942,1033.9753868709786,7.232065651294172,0.0009766495192025384
EXPLORER 11,107,6,6603.1572,-2455.8699,2040.999,1.836549,6.419879,2.958313,963.756907467272,7.303381025936618,0.0009957223011032976
EXPLORER 11,107,12,-6426.0832,1090.1582,-2488.5107,0.001957,-7.298687,-2.374642,605.7955178838356,7.675269401264167,0.0011001138533571625
EXPLORER 11,107,24,-4637.1895,-3825.2868,-3281.3489,4.864472,-6.100941,0.384355,477.62001900351515,7.812317050036436,0.0011407140458017614
TRANSIT 4A,116,1,3684.3313,-369.9215,-6233.4406,4.609601,5.301046,2.436445,879.3048734553431,7.435440424839809,0.0010255348643423644
TRANSIT 4A,116,6,275.9243,-3369.4388,-6440.0073,5.974414,4.00671,-1.784088,902.4411436629653,7.411499015667479,0.0010189810942685359
TRANSIT 4A,116,12,334.5257,3751.2992,6274.6907,-5.975069,-3.522484,2.481424,947.1894285777835,7.366600854722143,0.0010066152190534056
TRANSIT 4A,116,24,1865.8229,4451.3843,5484.9531,-5.764112,-2.370185,3.952919,935.2184329275633,7.380266438505455,0.0010101349290686647
SOLRAD 3/INJUN 1,117,1,5975.0233,-3825.6951,1973.3768,3.125331,1.554763,-6.445683,993.1742529957246,7.3301985772705365,0.0009953863563574195
SOLRAD 3/INJUN 1,117,6,2843.9555,-4016.1914,5461.6642,6.084906,-1.122331,-3.945321,980.710826805951,7.338342162603077,0.0009981815573928549
SOLRAD 3/INJUN 1,117,12,-1666.3629,3733.1411,-6008.0746,-6.52269,1.862579,3.013522,896.0536110703615,7.422667998221731,0.0010214136836577499
SOLRAD 3/INJUN 1,117,24,475.315,2968.6519,-6631.0438,-6.661724,3.092757,0.962314,909.7664658411513,7.407412554179834,0.001017394609335825
TIROS 3,162,1,-5038.5414,1870.5701,-4720.0317,-0.240729,-6.999179,-2.529417,781.9456301255959,7.4461001527894455,0.0010409837482098548
TIROS 3,162,6,-5017.9013,1376.2034,-4909.0086,0.088623,-7.142012,-2.101296,782.4351670779279,7.445242395240668,0.001040792601225453
TIROS 3,162,12,3701.1136,3471.3775,4946.5654,-3.463057,6.401944,-1.872255,715.4104371739841,7.515516585665287,0.0010605533862730124
TIROS 3,162,24,-2636.8209,6506.4372,-1262.3061,-4.364026,-2.776708,-5.3907,762.019429828988,7.470908695462688,0.0010473697385739212
TRANSIT 4B,202,1,4455.2537,-5940.2601,-139.9153,4.940378,3.702984,3.924591,1055.6783879598415,7.315862205128045,0.000985078634479251
TRANSIT 4B,202,6,-1685.0733,-6465.5447,-3350.3886,6.372639,-2.755055,2.146762,1103.4795180053134,7.26701059322126,0.0009722430271854674
TRANSIT 4B,202,12,4796.2932,3905.3266,3923.686,-4.614517,5.800993,-0.183112,953.7058739330823,7.4147701875298875,0.001012295963161787
TRANSIT 4B,202,24,6163.4243,-3559.7258,1997.4471,2.328767,6.093195,3.385045,1021.5125492158977,7.349061892536965,0.000994122342520265
TRAAC,205,1,-3825.9976,6257.5121,1405.1687,-4.985091,-3.832693,3.662823,1096.878841566182,7.277151931893342,0.000974460363683024
TRAAC,205,6,2183.2821,6697.354,-2298.101,-5.843499,3.078809,3.187959,1038.6247904801103,7.334073084389261,0.0009898035719449764
TRAAC,205,12,-5219.9623,-3764.8609,3728.9019,3.557859,-6.219041,-1.421326,1067.2049843758487,7.304450644767066,0.000982017927727222
TRAAC,205,24,-5437.7402,4164.8968,2992.2902,-3.176218,-6.000573,2.598108,1103.5691834621693,7.269484320879783,0.0009725623166300813
TIROS 4,226,1,-5010.3101,2009.7852,-4677.156,-0.260916,-6.965929,-2.639463,771.704816568933,7.453791580160127,0.0010435530757017379
TIROS 4,226,6,-4986.9094,1361.3891,-4922.6167,0.188293,-7.155169,-2.095162,767.2631515324547,7.457989104219313,0.0010447904407416275
TIROS 4,226,12,3487.8633,3808.0697,4909.8251,-3.653957,6.167473,-2.105311,754.5152622203395,7.471376002470963,0.0010485383481085762
TIROS 4,226,24,-3033.2848,6266.2007,-1704.4886,-4.01485,-3.38512,-5.258382,796.3823170053856,7.431597351500147,0.0010368635329899847
TIROS 5,309,1,-3638.4637,1048.5066,5973.6632,-1.032813,-7.412829,0.508354,701.6541138030698,7.501677163509904,0.0010606594133975176
TIROS 5,309,6,-3777.4131,-833.8219,5879.4533,-0.040805,-7.435852,-1.240883,666.9030823003031,7.538789732683754,0.001071169870418241
TIROS 5,309,12,2258.1973,6428.0763,-2303.4726,-3.219134,3.259854,5.788324,821.05158374853,7.382016427795864,0.0010264131648438932
TIROS 5,309,24,-3578.7931,1220.1553,5979.5088,-1.45824,-7.341846,0.462176,703.6776956977437,7.4995182005440855,0.001060050863533288
FTV 3502,369,1,2795.2963,-612.851,-6352.7894,-6.888681,-1.262485,-2.845859,596.5821425905733,7.559544149144642,0.0010849594585954857
FTV 3502,369,6,-1750.5216,-1209.4891,-6601.1943,-7.277829,-0.600777,2.081745,564.6294553153475,7.593509742009619,0.0010948551664896231
FTV 3502,369,12,6906.2602,753.6363,-967.5705,-0.930243,-1.223788,-7.358469,643.3132447340822,7.517318347120468,0.0010717112402648986
FTV 3502,369,24,-6789.2386,-1074.8257,-841.9151,-1.100943,0.967333,7.471767,554.1593547526727,7.6141388695260215,0.0010994893372815325
TIROS 6,397,1,-5819.1362,2366.9338,2973.5554,0.799111,-5.080155,5.566787,579.3059964725326,7.57863250974178,0.0010904027122817528
TIROS 6,397,6,-3832.2241,-1331.0249,5632.7087,4.781825,-5.559683,1.931315,570.5398966005023,7.583264667696822,0.0010924470334616376
TIROS 6,397,12,-4053.4178,5250.1253,-2124.5718,-4.469628,-1.037287,6.013153,593.7553338514463,7.563831554190112,0.0010860154006310774
TIROS 6,397,24,3391.9912,-5428.9924,2709.0269,4.959846,0.21925,-5.725256,580.1430373039229,7.578040589212491,0.0010901862540512067
ALOUETTE 1 (S-27),424,1,5366.6853,-5047.4822,-112.973,0.903487,0.823758,7.261294,997.2528843194523,7.363508440693812,0.000999356096526527
ALOUETTE 1 (S-27),424,6,2454.0404,-3678.8871,-5915.7179,4.81832,-3.563462,4.238306,1014.9490149715339,7.340143513411709,0.0009937982916661113
ALOUETTE 1 (S-27),424,12,64.9284,1604.7044,7186.8954,-5.39875,4.894532,-1.02635,993.1535426040036,7.359099087797635,0.0009993136407630387
ALOUETTE 1 (S-27),424,24,4501.929,-3220.6506,4848.7651,-2.911742,4.078007,5.403362,987.7008366490463,7.369172509153047,0.0010014230327793526
ANNA 1B,446,1,4848.9162,5378.2409,-1768.7959,-4.466629,2.274943,-5.361076,1083.2673971968597,7.3394329586600895,0.0009845948055767421
ANNA 1B,446,6,5408.9382,-1288.9005,5011.0292,3.83288,5.567352,-2.773009,1114.2047796684974,7.305885045659082,0.0009760434431271021
ANNA 1B,446,12,350.0719,5432.8396,-5119.9995,-6.576782,-1.933719,-2.558758,1102.4658181126388,7.317142416889875,0.000979082877338664
ANNA 1B,446,24,5858.689,-788.0516,4584.8226,3.353674,5.532091,-3.404885,1110.0333775792178,7.310567829777794,0.0009772136362454535
EXPLORER 16,506,1,-5199.9674,2174.0974,-4590.6196,0.212976,-6.482472,-3.626341,898.1229716970447,7.430891672985214,0.0010222542254296743
EXPLORER 16,506,6,-3983.2771,5826.4568,-1160.3506,-3.413187,-3.35369,-5.844544,781.6574650664634,7.553527432994799,0.0010560448993798713
EXPLORER 16,506,12,3067.5748,-6852.6131,-320.3193,4.112701,1.65051,5.661116,1143.7139603473352,7.1893481721889785,0.0009567028379423083
EXPLORER 16,506,24,914.0303,-7004.0692,-2595.9941,4.911437,-1.262805,5.079769,1154.3984688481141,7.1778090644955865,0.0009538111628518547
TRANSIT 5B-1,670,1,889.7618,-455.5104,-7400.0713,6.45866,-3.271173,0.950101,1096.2766809815666,7.301886995957278,0.0009778514052592266
TRANSIT 5B-1,670,6,-6006.6658,3040.8545,-3179.3969,2.787637,-1.416463,-6.629769,1074.4949312177696,7.330151735639515,0.0009845083239403416
TRANSIT 5B-1,670,12,6054.7123,-3069.4096,-3176.0952,2.769671,-1.398883,6.588044,1123.5578287052058,7.28218887710735,0.0009716635782321336
TRANSIT 5B-1,670,24,-3912.5201,1978.3583,-6024.3133,5.270722,-2.673162,-4.320764,1079.7761899442257,7.320881574183809,0.0009825662974636486
RADIATION SAT (5E 1),671,1,-6396.625,3223.3924,-2038.6291,1.771,-0.897207,-7.054233,1076.3537959713967,7.3282756920805046,0.0009840106825654896
RADIATION SAT (5E 1),671,6,-3675.1339,1856.6406,6195.7459,-5.44717,2.743566,-4.067455,1068.1525564317053,7.330962118459009,0.0009854566179209273
RADIATION SAT (5E 1),671,12,-1806.728,906.3612,-7198.2671,6.26119,-3.157844,-2.000318,1105.6841536734619,7.292170530477191,0.0009753214634450466
RADIATION SAT (5E 1),671,24,-5958.7334,3006.3715,3281.09,-2.896543,1.456286,-6.582215,1066.0911596125952,7.337321348480656,0.0009865848341790212
TRANSIT 5B-2,704,1,111.4016,353.3652,7419.7447,-2.397441,-6.923008,0.353125,1057.989749234528,7.334879711499706,0.0009873320544365378
TRANSIT 5B-2,704,6,2338.3897,6762.3716,2126.1614,-0.701352,-1.99576,6.995153,1093.4690597793106,7.308017384962422,0.0009790404818395063
TRANSIT 5B-2,704,12,-2093.523,-6029.1912,3818.4785,-1.230733,-3.580693,-6.279882,1066.3895375090242,7.333006478345836,0.000985965094521841
TRANSIT 5B-2,704,24,1501.4499,4359.6211,5841.5662,-1.894019,-5.44891,4.514714,1071.079252921032,7.32533758008851,0.0009843132988960443
TRANSIT 5E 3,705,1,2426.8813,6992.857,-907.5948,0.271712,0.814045,7.263956,1086.4479674836302,7.314475609563887,0.0009808282459974056
TRANSIT 5E 3,705,6,579.5421,1639.844,-7284.2599,2.315913,6.68335,1.703618,1118.0186059827902,7.275502356263312,0.0009714894219185267
TRANSIT 5E 3,705,12,1364.1145,3957.8887,6135.7615,-1.994589,-5.731788,4.124393,1056.8705236144351,7.3377378376659115,0.0009878656089033894
TRANSIT 5E 3,705,24,1876.1275,5386.1146,-4830.5595,1.531343,4.436551,5.584078,1103.2484547698614,7.2945132304584925,0.0009759527361982907
TIROS 8,716,1,3287.1385,4327.3014,4430.1881,-1.923631,5.882576,-4.32234,640.2326680838241,7.5490184590804255,0.0010767034580730266
TIROS 8,716,6,2295.1894,6214.7815,2297.1248,-3.200701,3.385038,-5.942784,641.002982129261,7.5511357307030975,0.0010768871248269384
TIROS 8,716,12,1690.8622,-5457.5573,4102.5753,3.624747,4.659573,4.66698,662.8517722754314,7.5253646872917725,0.0010698782020050074
TIROS 8,716,24,1566.9902,6823.5021,431.1089,-3.759964,1.279416,-6.420487,643.3776687072996,7.549628328568301,0.001076307647683254
GGSE 1 (GGRS),728,1,-3993.0419,-608.0011,-6073.6944,5.454198,-3.802961,-3.206093,923.0943658104798,7.381722056226041,0.0010120135120305403
GGSE 1 (GGRS),728,6,-6221.49,1514.4676,-3488.4719,2.470791,-3.575267,-5.974989,920.7752384888672,7.3883581286434,0.0010132454562840514
GGSE 1 (GGRS),728,12,6294.4243,-1731.1123,3202.5421,-2.16684,3.535289,6.140535,900.3687133794965,7.409428721928972,0.00101898679794568
GGSE 1 (GGRS),728,24,6408.007,-2129.4243,2700.0666,-1.573044,3.409991,6.386682,901.369710480556,7.408927926167254,0.001018777677857865
SECOR 1B,729,1,-1321.14,2796.8654,6592.4452,-3.731788,-6.118215,1.83336,911.0464623840599,7.397297165368511,0.0010158266915186256
SECOR 1B,729,6,997.8385,5675.482,4466.5023,-3.873763,-3.472656,5.251958,919.8449716278801,7.392458475248204,0.0010139371367812304
SECOR 1B,729,12,-1330.4237,-5896.0801,-4071.6385,3.81481,2.985592,-5.588923,916.7999315170518,7.396120282046054,0.001014863244263959
SECOR 1B,729,24,-2035.1288,-6255.2184,-3133.5349,3.584826,1.918082,-6.181756,915.1888140375559,7.398927169024979,0.0010154728840913677
SOLRAD 7A,730,1,-30.6232,3475.3012,6389.5645,-5.28612,-4.570844,2.448731,902.5954459098102,7.404860770946136,0.0010180468278738462
SOLRAD 7A,730,6,2871.4804,5350.7154,4018.3664,-4.452347,-1.850062,5.614981,910.6772452526538,7.400954995310673,0.001016380532402172
SOLRAD 7A,730,12,-3184.1012,-5427.3898,-3684.2881,4.265767,1.457606,-5.857357,920.7103135538164,7.3912119692898814,0.0010136458596758996
SOLRAD 7A,730,24,-3826.3402,-5500.7946,-2871.7231,3.803815,0.630678,-6.308738,919.1587171061519,7.3937093834254135,0.0010142041717248601
GREB,731,1,3991.9462,4874.6706,3649.1339,-4.439198,-0.784148,5.87046,910.0868791910461,7.401598988104395,0.001016551390048341
GREB,731,6,5765.9172,4460.2042,-95.6913,-1.493132,2.055123,6.94453,919.2935117764064,7.39455682481736,0.0010143016619114898
GREB,731,12,-5873.0026,-4280.5723,476.5686,1.120519,-2.334902,-6.934023,912.0334604229301,7.401891997556706,0.001016319921881407
GREB,731,24,-6038.8384,-3840.7418,1340.6424,0.297685,-2.875722,-6.815633,910.2216585034375,7.403461796429965,0.0010167884104700712
OPS 3367 A,734,1,-5891.7156,-3958.1213,-1118.9198,0.289396,1.610184,-7.261414,814.4727371015124,7.44342500721731,0.0010358991369884246
OPS 3367 A,734,6,-5854.3426,-4163.3577,-93.2046,-0.602469,0.996353,-7.35316,813.3971016213463,7.4447733465949115,0.0010362419060765454
OPS 3367 A,734,12,5487.1257,3340.2313,3162.2656,-2.103725,-2.800779,6.595841,789.0012088018211,7.468275596129739,0.0010430550747601765
OPS 3367 A,734,24,1777.2064,-54.8453,6936.3785,-5.759343,-4.515753,1.447972,789.643636601063,7.46047450645346,0.0010418720557911632
OPS 3367 B,735,1,4746.1498,3491.1369,-4124.9177,4.206215,1.335142,5.984163,821.2820307851489,7.435392094365838,0.0010338015198152833
OPS 3367 B,735,6,4027.1609,3256.7841,-4991.8943,4.925715,1.910603,5.228238,822.3077433732878,7.43286920841999,0.0010333033805299647
OPS 3367 B,735,12,-5643.4414,-3746.4061,2336.2675,-2.69552,-0.310238,-6.954982,794.3426528608825,7.465510719794595,0.0010418916556368544
OPS 3367 B,735,24,-5586.2039,-2682.7232,-3628.0971,2.739962,2.810183,-6.329791,809.9307437979005,7.447870457964075,0.0010371734143790102
OPS 4412 (TRANSIT 9),801,1,7135.9444,598.5123,-641.862,-0.670633,-0.116275,-7.430102,818.7083584931779,7.4612119810871205,0.001037762814436446
OPS 4412 (TRANSIT 9),801,6,6986.2531,605.2085,1606.062,1.646363,0.081309,-7.271905,822.9867148595613,7.456388174597337,0.001036475110413503
OPS 4412 (TRANSIT 9),801,12,-7212.5898,-611.0133,266.1209,0.254264,0.080929,7.401222,872.3147942953392,7.406030433236215,0.0010224642506313584
OPS 4412 (TRANSIT 9),801,24,-6196.0486,-499.6827,3721.4573,3.789457,0.374734,6.347182,873.9945127629007,7.401832831584958,0.0010216478174753297
OPS 4467 A,812,1,1970.6997,6854.3219,-916.2491,0.971564,-1.248446,-7.27709,819.6118258219522,7.447052631015307,0.0010356632803167679
OPS 4467 A,812,6,1700.5323,6961.3669,583.0893,1.378604,0.28064,-7.313962,818.7449434269502,7.448043228651402,0.0010359259316230118
OPS 4467 A,812,12,-2036.0183,-6593.1245,2021.4772,-0.653178,2.364046,7.031251,819.3429167568202,7.446733889081911,0.0010356576835476904
OPS 4467 A,812,24,-1890.0622,-3298.8394,6097.4684,0.89358,6.384714,3.724514,814.6661066222496,7.445472625320169,0.0010361562191789685
OPS 4467 B,813,1,1736.0853,6710.1647,1931.7605,1.769991,1.583378,-7.054196,824.2763045877837,7.443227474515407,0.0010344602707987082
OPS 4467 B,813,6,1288.2712,6209.3812,3394.6607,2.111544,3.091994,-6.433956,822.0368301425633,7.444114102424009,0.0010349056008206855
OPS 4467 B,813,12,-1884.265,-6865.3859,-1014.3116,-1.508515,-0.651971,7.264417,820.1616702754209,7.447982145518006,0.0010357133502232538
OPS 4467 B,813,24,-2322.9051,-5593.8347,3866.8859,0.116209,4.209431,6.146537,815.0755157560734,7.4506866104951035,0.001036822754528372
EXPLORER 20,870,1,-3501.7595,-275.5518,-6483.6725,6.156547,-2.216325,-3.261333,1003.025866348703,7.311050567854322,0.0009914598484415727
EXPLORER 20,870,6,-6466.8827,1116.4951,-3298.3239,2.88543,-1.960619,-6.464388,973.7990927726878,7.345614022163497,0.0010001109532582874
EXPLORER 20,870,12,6810.719,-1466.6661,2082.4734,-1.82669,1.782001,6.968375,900.4302724813206,7.420955063920411,0.0010205633260357272
EXPLORER 20,870,24,7021.2967,-1963.8729,88.7038,0.188224,1.294334,7.285021,920.3148663954807,7.401503884223327,0.0010151123658553947
COSMOS 44,876,1,1349.0003,2622.6079,-6298.1182,-6.427163,4.076023,0.3464,583.4350502189418,7.6185550260596,0.0010954958916209521
COSMOS 44,876,6,-671.1084,3734.9525,-5826.3354,-6.516008,2.954078,2.626132,582.1604939840108,7.621122382403526,0.0010960659385034254
COSMOS 44,876,12,5421.5697,-4435.5588,1138.8609,2.787033,1.843058,-6.685672,725.8023806334313,7.474130439458293,0.0010531687425670126
COSMOS 44,876,24,-223.3488,3601.8927,-5942.6823,-6.417747,3.409739,2.296117,581.6245855437946,7.621413903064116,0.0010961923528721655
OPS 5798 (TRANSIT 5B-4),897,1,549.4284,2027.9774,-7137.7087,1.934294,6.738445,2.078629,1069.5274939141927,7.312238563948935,0.0009827580866988007
OPS 5798 (TRANSIT 5B-4),897,6,-1557.5468,-5379.8301,-4919.7489,1.303792,4.644863,-5.482036,1083.69336580033,7.30255739952306,0.000979591921650967
OPS 5798 (TRANSIT 5B-4),897,12,2037.7673,7138.4392,-148.3973,0.066648,0.125308,7.334138,1054.0812480196619,7.335511178766754,0.000987936823010954
OPS 5798 (TRANSIT 5B-4),897,24,113.6743,508.0349,-7424.8063,2.002333,7.009875,0.52491,1072.034992435424,7.309118651835801,0.000982007831383874
EXPLORER 22,899,1,-7041.5451,-1697.2703,-250.9267,0.081391,-1.353724,7.337049,876.5546272773272,7.461332400547372,0.0010294965383862659
EXPLORER 22,899,6,-5123.9152,-280.3678,-5164.4667,-4.934106,-2.1573,5.109469,909.4415645946074,7.423342829965285,0.0010196281041613764
EXPLORER 22,899,12,3881.8702,-244.4781,6254.4317,6.04946,2.110176,-3.573316,994.2292347891344,7.33603409741476,0.0009960360857152316
EXPLORER 22,899,24,117.7371,-1316.7992,7198.2375,7.201223,1.595628,0.26286,947.6368446756051,7.380564801538768,0.001008461679159312
CALSPHERE 1,900,1,28.3957,-4.3596,7328.1151,-2.484553,-6.951581,-0.00269,957.1714118010814,7.3822414784041035,0.0010073783845334116
CALSPHERE 1,900,6,1868.9284,5174.8768,4865.0984,-1.630001,-4.624726,5.503247,973.4826707663597,7.370937618653817,0.0010036020165168007
CALSPHERE 1,900,12,-2328.9019,-6490.5369,-2569.2337,0.831313,2.406238,-6.90509,987.7916885383374,7.359438193552074,0.001000087854778488
CALSPHERE 1,900,24,-2254.2235,-6348.2678,2913.4283,-1.016428,-2.770058,-6.762655,968.6247933876002,7.378336523334578,0.0010052743472638893
CALSPHERE 2,902,1,-1966.4364,-6983.791,-1720.3264,0.423675,1.617127,-7.111772,1085.5227666428354,7.305607518867818,0.0009797606401136271
CALSPHERE 2,902,6,-1197.1407,-4357.6043,5900.3118,-1.591115,-5.606967,-4.436272,1061.0616539553967,7.32463208224809,0.000985545118338714
CALSPHERE 2,902,12,-242.6037,-753.7571,-7417.199,1.955145,6.985987,-0.765207,1088.3463069263044,7.2946657283279945,0.0009779229208804266
CALSPHERE 2,902,24,-2008.0257,-7172.5524,249.5007,-0.099564,-0.245518,-7.305203,1081.5113714711451,7.310005673707032,0.000980878164331337
EXPLORER 25 (INJUN-4),932,1,-423.9639,1576.3127,6812.3808,-3.432934,-6.879488,1.822825,634.2151487940137,7.901587307062107,0.0011279578341605123
EXPLORER 25 (INJUN-4),932,6,2239.7993,2164.9077,-7444.5807,2.12224,5.769142,3.106634,1699.0252820305514,6.8875305330517405,0.0008534707503814318
EXPLORER 25 (INJUN-4),932,12,3112.2107,6426.6739,-847.0853,-0.940439,0.733802,7.628662,819.6568798414928,7.721358351881423,0.0010738043103583087
EXPLORER 25 (INJUN-4),932,24,-3068.2732,-4621.7843,5311.075,-1.768176,-5.377503,-4.523005,1309.0200651554114,7.245795961246079,0.0009434605508546227
OPS 6582 (TRANSIT 5E-5),959,1,6818.5436,868.3114,-2751.5323,-2.671802,-0.341883,-6.827412,1032.8794905383356,7.339547978631722,0.0009913111076444686
OPS 6582 (TRANSIT 5E-5),959,6,5817.9973,742.3377,4465.4988,4.44453,0.56517,-5.851281,1000.6237950976592,7.369582986218488,0.000999723153414241
OPS 6582 (TRANSIT 5E-5),959,12,-2283.9869,-292.5402,-7078.9374,-6.881927,-0.876561,2.249457,1073.0265072812845,7.2931018925350966,0.000979725406055639
OPS 6582 (TRANSIT 5E-5),959,24,5675.6934,722.3871,-4719.3499,-4.596504,-0.587002,-5.672348,1045.7110076960653,7.3244762408737465,0.0009875639260142927
OPS 6582 (TRANSIT 5B-5),965,1,-2710.8913,-1114.8723,6784.0232,6.243609,2.595565,2.898632,1019.1855635607162,7.356743742005018,0.0009954748333085718
OPS 6582 (TRANSIT 5B-5),965,6,-6848.6876,-2841.8961,447.4529,0.440269,0.193711,7.310514,1057.398843849688,7.3263207470106035,0.0009862583984806363
OPS 6582 (TRANSIT 5B-5),965,12,5605.1493,2333.0305,4233.34,3.91111,1.614457,-6.010047,1030.4794159560252,7.350096446928979,0.000993057743440281
OPS 6582 (TRANSIT 5B-5),965,24,-2832.4458,-1165.8581,6725.1472,6.189872,2.574447,3.030918,1018.8294419385002,7.357224793012444,0.0009955879023755244
TIROS 9,978,1,-1912.0015,6790.935,-1078.5718,1.090499,-0.603529,-7.773145,765.936670447797,7.872434090792187,0.001103055057695817
TIROS 9,978,6,2431.7022,-8459.9626,1065.003,-0.971209,0.808198,6.21085,2495.7002979063527,6.338066633555141,0.0007148168338397223
TIROS 9,978,12,2244.7147,-8216.6545,2203.317,-1.228042,1.710374,6.036157,2427.1112211232794,6.3928599000986255,0.0007266173090367492
TIROS 9,978,24,1730.2873,-7230.1132,4323.7722,-1.694201,3.466567,5.296347,2229.199826913813,6.552762420407061,0.0007619314146516202
SECOR 3,1208,1,1824.1269,1682.3919,6840.4373,-5.158006,5.30681,0.054562,905.6382284486635,7.400691540929132,0.001017048162707261
SECOR 3,1208,6,4298.9286,-1491.4549,5691.3476,-3.260544,5.401585,3.853243,915.745661175346,7.392952678410027,0.0010145753704291567
SECOR 3,1208,12,-4459.6293,1839.4696,-5458.2254,2.932667,-5.326144,-4.210384,913.5155240378072,7.395652714201837,0.0010152566344044836
SECOR 3,1208,24,-4759.8336,2617.6299,-4850.8292,2.203491,-5.068665,-4.918477,911.7567665435326,7.398523735775605,0.0010158960367540899
GGSE 2,1244,1,2462.9543,1048.6987,6769.1583,-5.066732,5.296289,1.004538,908.2456297152848,7.398077245121803,0.0010163247156987564
GGSE 2,1244,6,4777.4261,-2014.5235,5124.7464,-2.839108,5.039834,4.599902,919.0706949470941,7.390504677816259,0.001013776818781576
GGSE 2,1244,12,-4901.2712,2337.6043,-4850.9284,2.493311,-4.934713,-4.91822,910.3707213171392,7.399789193179087,0.001016263211474079
