satellite_name,norad_id,horizon_h,future_x_km,future_y_km,future_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s,altitude_km,velocity_mag_km_s,sgp4_risk_score
OPS 1264 (DMSP 4A F4),2980,1,-6742.0734,775.0478,1903.2984,2.078563,1.016765,7.165599,677.3187798733225,7.529943176345689,0.0010683318123816505
OPS 1264 (DMSP 4A F4),2980,6,-5908.2552,991.8965,3745.0624,4.039782,0.754712,6.28563,694.1843963857764,7.5098983553286525,0.0010629444235270593
OPS 1264 (DMSP 4A F4),2980,12,313.8158,-1139.2483,-6912.1939,-7.539845,0.393957,-0.372318,641.4739968558697,7.559304560275237,0.0010779796921406833
OPS 1264 (DMSP 4A F4),2980,24,-6598.2701,720.891,2392.8092,2.581737,1.00101,6.993459,684.6635417258703,7.52169234560614,0.0010660503156257753
ESSA 6 (TOS-D),3035,1,4082.106,3830.0646,5476.431,4.885411,1.737843,-4.894529,1459.9821052770994,7.130480563286811,0.0009105474214379525
ESSA 6 (TOS-D),3035,6,-6610.7904,-4180.119,-601.1571,-1.265947,0.956855,6.942788,1473.5735655785375,7.121832524763413,0.0009078673895052162
ESSA 6 (TOS-D),3035,12,-5441.3991,-2027.3077,5293.9593,3.605106,3.478154,5.040448,1486.7863133338378,7.106367606566381,0.000904372723206741
ESSA 6 (TOS-D),3035,24,4493.0244,4066.4384,4953.798,4.49588,1.483373,-5.337678,1456.0878457312538,7.134713649699826,0.0009115412769502727
COSMOS 192,3047,1,-634.7285,3358.2933,-6200.0738,-5.207418,4.502121,2.974519,708.6842643569616,7.498937191810983,0.00105921915608084
COSMOS 192,3047,6,-1672.246,4223.0291,-5430.04,-4.90751,3.644285,4.347769,708.2454305217316,7.501170764533094,0.001059600325790692
COSMOS 192,3047,12,4623.0009,-5366.6457,186.1865,1.690101,1.202733,-7.207537,714.7384091929016,7.500106510300971,0.0010584791700143032
COSMOS 192,3047,24,602.8908,2255.2268,-6684.3278,-5.051736,5.370123,1.35961,709.2375224292946,7.497119246812405,0.0010588796241739746
COSMOS 198,3081,1,-1598.0119,-7006.2474,1228.1675,2.820943,-1.815867,-6.595102,919.3731091491209,7.399355563921901,0.001014948817178645
COSMOS 198,3081,6,-2951.3942,-4674.9141,4739.3443,1.320088,-5.588789,-4.673963,910.9594863000266,7.404263970148147,0.0010167955457700936
